,GUID,type,Manufacturer,Category,Family,Material,Roughness,ArticleNumber,Leveringsprogramma,Omschrijving,Artikelnummer,Afmetingen,System Type,System Abbreviation,Type,Afmeting,Buis type,Lengte,Afmetingen [mm],System Name,InvertElevation,Systeemtype,Systeemnaam,Binnendiameter,Kanaaltype,Diameter,Verbindingstype,Debiet
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTlz,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVH5,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3Lm,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUx9I,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tHGVEGln5YR3a_F2JdeqC,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,2yq70TTAfAfPI5NM5JGYm_,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUls_,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1Bdmh1XsH4ZwE_vDZB$GpY,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,31nAlRRgf8yf4O4e8F3Asd,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVh8,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6lY,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlwo,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6sD,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6qM,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,0Q511E6uX3$B9UE5SsHZHy,IfcBuildingElementProxy,,Generic Models,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,3wYamzIx5Bdu7B3UKw5j_j,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3$jO3xPMT3GuoR_IvX0gK8,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUl8$,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3hn,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhfn,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTtv,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjSj,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,2yq70TTAfAfPI5NM5JGYZb,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihT25,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C07,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C1x,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjGp,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3Hs,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlar,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tHGVEGln5YR3a_F2JdebX,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTny,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0RVcPE4S9Aa9GDFmWDTsog,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6c0,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1iRnjW8x96TOkxG85_UwuD,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhdm,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlA_,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6oB,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVd6,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1pfTq3AHL9GPxAqiCdMgMS,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUl_m,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVJ6,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,2yxDj139L3APe0fUNyImoO,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1iRnjW8x96TOkxG85_Uwew,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhjp,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
